Time,Time Code,Country Name,Country Code,"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]"
2009,YR2009,Middle East & North Africa,MEA,28.6,90.7487082317809
2009,YR2009,South Asia,SAS,65.3,76.4155604546095
2009,YR2009,Sub-Saharan Africa,SSF,105.4,72.0440243968018
2009,YR2009,North America,NAC,7.3,90.0824061616951
2009,YR2009,World,WLD,53.5,83.5478807975973
2010,YR2010,East Asia & Pacific,EAS,21.9,93.081847650848
2010,YR2010,Europe & Central Asia,ECS,12.5,93.3417095617293
2010,YR2010,Latin America & Caribbean,LCN,24.4,93.4191095210092
2010,YR2010,Middle East & North Africa,MEA,27.6,90.9099094803539
2010,YR2010,South Asia,SAS,62.5,78.8937286863827
2010,YR2010,Sub-Saharan Africa,SSF,100.9,72.4314252403124
2010,YR2010,North America,NAC,7.2,91.8315288487888
2010,YR2010,World,WLD,51.5,84.3350947201357
2011,YR2011,East Asia & Pacific,EAS,20.8,93.8861086296052
2011,YR2011,Europe & Central Asia,ECS,11.9,94.1292773848597
2011,YR2011,Latin America & Caribbean,LCN,20.3,94.5102086848748
2011,YR2011,Middle East & North Africa,MEA,26.7,90.9581616198314
2011,YR2011,South Asia,SAS,59.7,80.9627634361837
2011,YR2011,Sub-Saharan Africa,SSF,96.3,70.8143411506104
2011,YR2011,North America,NAC,7.1,91.6533286874046
2011,YR2011,World,WLD,49.1,84.7802176639926
2012,YR2012,East Asia & Pacific,EAS,19.7,94.1670864835422
2012,YR2012,Europe & Central Asia,ECS,11.4,94.7500847327731
2012,YR2012,Latin America & Caribbean,LCN,19.7,95.2345145637135
2012,YR2012,Middle East & North Africa,MEA,26.1,87.9449987951247
2012,YR2012,South Asia,SAS,57,80.1480451599888
2012,YR2012,Sub-Saharan Africa,SSF,92.1,70.2871211713813
2012,YR2012,North America,NAC,6.9,91.6111542614616
2012,YR2012,World,WLD,47.1,84.4060228224427
2013,YR2013,East Asia & Pacific,EAS,18.8,94.1583927132306
2013,YR2013,Europe & Central Asia,ECS,10.9,95.0495811493975
2013,YR2013,Latin America & Caribbean,LCN,19.2,91.5665279381239
2013,YR2013,Middle East & North Africa,MEA,25.4,88.5372247585606
2013,YR2013,South Asia,SAS,54.3,81.0236528129397
2013,YR2013,Sub-Saharan Africa,SSF,88.2,69.1840130789911
2013,YR2013,North America,NAC,6.8,91.8230014494626
2013,YR2013,World,WLD,45.2,84.1155403233353
2014,YR2014,East Asia & Pacific,EAS,17.9,92.7602216896012
2014,YR2014,Europe & Central Asia,ECS,10.4,93.6268779167026
2014,YR2014,Latin America & Caribbean,LCN,18.7,92.4240358577335
2014,YR2014,Middle East & North Africa,MEA,24.8,86.8954559271799
2014,YR2014,South Asia,SAS,51.7,83.1881251604439
2014,YR2014,Sub-Saharan Africa,SSF,84.7,68.9201876152027
2014,YR2014,North America,NAC,6.7,91.8213943705006
2014,YR2014,World,WLD,43.5,84.0565005969399
